"","cluster","duration.means","origin_bytes.means","resp_bytes.means."
"1",0,1.73051782852558,453531.586794004,782.909037535716
"2",1,0.0493503244822092,0,0
"3",2,2.10593023255814,0,0
"4",3,2.67383481710914,0,0
"5",4,NA,NA,NA
"6",5,0.119469026548673,455.441213653603,6752.30720606827
"7",6,2.16779999,0,0
"8",7,0.375852187028658,1645.1568627451,5542.36802413273
"9",8,6.50537159455482,26.439293598234,4.28991905813098
"10",9,0.14418611627907,0,0
"11",10,0.0258585656565657,0,0
"12",11,0.0201290451612903,0,0
"13",12,0.0207,0,0
"14",13,0.0281739130434783,0,0
"15",14,0.0245205479452055,0,0
"16",15,0.0166197183098592,0,0
"17",16,0.0235353535353535,0,0
