"","duration.means","origin_bytes.means","resp_bytes.means."
"1",0.610158245253165,256.482594936709,582.159810126582
"2",1.41808125691861,331832.49194753,816.428369680345
"3",5.78441097697077,706.279007971656,364.871567759079
"4",0.43672131147541,76.7377049180328,608.590163934426
"5",0.487161296774194,98.7354838709677,284.81935483871
"6",0.140384615384615,95.5769230769231,823.807692307692
"7",1.74583331666667,605.783333333333,585.6
"8",0.326436816091954,52.1379310344828,373.126436781609
"9",0.102068931034483,150.862068965517,180.068965517241
"10",0.108695695652174,87.8260869565217,992.695652173913
"11",0.745217347826087,32.8260869565217,45.1739130434783
"12",0.5864,104.84,427.48
"13",2.33250004166667,122.458333333333,556.416666666667
"14",0.084583375,653.958333333333,90.5833333333333
